id,legalName,RoadNameAddress,AdministrativeNeighborhood
1143,군산식도락,전북 군산시 칠성안2길 100,소룡동
1144,주민네가게,전북 군산시 하나운안1길 20,나운1동
1145,맛남,전북 군산시 문화로 86,수송동
1146,또복이닭강정,전북 군산시 신금길 18,중앙동
1147,인테이블,전북 군산시 내항2길 32,월명동
1148,꽃잎카페,전북 군산시 중앙로 133-2,월명동
1149,이모네칼국수,전북 군산시 칠성4길 146,미성동
1150,망주봉풍경회집,전북 군산시 옥도면 선유도2길 53,옥도면
1151,가빈이네횟집,전북 군산시 옥도면 선유북길 111,옥도면
1152,바빈스커피,전북 군산시 칠성로 120,미성동
1153,탐앤탐스,전북 군산시 나포면 서해안고속도로 148,나포면
1154,김가네,전북 군산시 조촌4길 25,조촌동
1155,탐앤탐스,전북 군산시 성산면 서해안고속도로 141,성산면
1156,이삭토스트,전북 군산시 하나운로 37,나운2동
1157,일미리금계찜닭,전북 군산시 조촌4길 25,조촌동
1158,현대횟집,전북 군산시 옥도면 선유남길 37-3,옥도면
1159,바다양푼이동태탕,전북 군산시 풍문2길 35,흥남동
1160,엽s,전북 군산시 내항2길 32,월명동
1161,여유와놀던닭,전북 군산시 부원로 129,미성동
1162,월명옥,전북 군산시 구영6길 117,월명동
1163,골든벨,전북 군산시 소룡1길 45,소룡동
1164,군산해장국,전북 군산시 가도2길 27-8,소룡동
1165,거목아리랑,전북 군산시 조촌4길 87,조촌동
1166,군산자동차학원,전북 군산시 개사길 58-2,나운3동
1167,안동찜닭,전북 군산시 동수송8길 15,수송동
1168,향,전북 군산시 구영7길 78,월명동
1169,카페디아크(CAFETHEA),전북 군산시 상신2길 17,나운1동
1170,그럭저럭괜찮은카페,전북 군산시 중앙로 201,월명동
1171,커피볶는집,전북 군산시 나운로 162,나운3동
1172,카페반짝반짝빛나는,전북 군산시 축동2길 31,수송동
1173,아이비카페,전북 군산시 구영6길 118,월명동
1174,카페인앤아웃,전북 군산시 요죽길 31,소룡동
1175,카페안셀프스튜디오하루,전북 군산시 동아로 148,미성동
1176,카페드선유,전북 군산시 옥도면 선유북길 117,옥도면
1177,그라찌에,전북 군산시 대학로 558,나운3동
1178,카페남다른,전북 군산시 삼화길 6,신풍동
1179,신명손왕만두,전북 군산시 동아로 145-1,미성동
1180,아궁이순대국밥,전북 군산시 계산로 87-8,수송동
1181,정워니네냉면&초계국수,전북 군산시 대학로 432,나운3동
1182,돈까스명가,전북 군산시 칠성5길 167,소룡동
1183,코코반점,전북 군산시 칠성로 194,소룡동
1184,국수나무,전북 군산시 하나운로 37,나운2동
1185,엔엔엔씨,전북 군산시 월명로 491,월명동
1186,정스돈까스,전북 군산시 수송로 73,나운2동
1187,한라산푸줏간,전북 군산시 번영로 376,개정동
1188,달보드레,전북 군산시 하나운안2길 12,나운1동
1189,벨로마노,전북 군산시 은파순환길 92,나운3동
1190,걸작떡볶이치킨,전북 군산시 축동안3길 34-1,수송동
1191,제주미풍해장국,전북 군산시 축동1길 6-3,수송동
1192,샤브샤브전문점,전북 군산시 가도로 189,소룡동
1193,호원대레몬트리,전북 군산시 임피면 호원대3길 64,임피면
1194,치킨이남달라,전북 군산시 평화길 123-4,월명동
1195,아찌네,전북 군산시 하신1길 14,나운1동
1196,오렌지푸드,전북 군산시 신설2길 5-5,나운1동
1197,백마삼겹,전북 군산시 설림안2길 48,소룡동
1198,봄봄테이크아웃,전북 군산시 상신3길 23,나운1동
1199,호남메밀막국수,전북 군산시 나운로 16-3,나운1동
1200,인커피,전북 군산시 구영6길 138,월명동
1201,포아이니,전북 군산시 영동로 30,중앙동
1202,롯데리아,전북 군산시 공단대로 566,소룡동
1203,영동카페,전북 군산시 영동로 30,중앙동
1204,땅땅치킨,전북 군산시 양안로 5,조촌동
1205,황금애,전북 군산시 대학로 370,나운3동
1206,새우왕알베르토,전북 군산시 동수송7길 24,수송동
1207,바다양푼이동태탕,전북 군산시 동아로 36,미성동
1208,최대포곱창,전북 군산시 수송안11길 19,수송동
1209,닭코치비어선수,전북 군산시 동수송6길 8,수송동
1210,이앤드.커피,전북 군산시 서수송2길 40,나운2동
1211,으뜸족발,전북 군산시 대야면 석화로 1,대야면
1212,자담치킨&호프카페,전북 군산시 미장1길 30,수송동
1213,군산김치칼국수,전북 군산시 조촌4길 24-4,조촌동
1214,커피에빠진호떡,전북 군산시 황룡1길 29,나운3동
1215,편안식당,전북 군산시 구암로 50,조촌동
1216,다사랑,전북 군산시 황룡로 10,나운3동
1217,조선장어,전북 군산시 상지곡안3길 17,수송동
1218,서울소바,전북 군산시 수송안길 7,수송동
1219,커피에반하다,전북 군산시 미장9길 1,수송동
1220,롯데리아,전북 군산시 대학로 52,월명동
1221,더소바,전북 군산시 옥산면 돌머리길 10-16,옥산면
1222,로뎀,전북 군산시 옥구읍 광월길 63,옥구읍
1223,파리바게뜨,전북 군산시 궁포1로 24-5,조촌동
1224,군산짬뽕,전북 군산시 조촌4길 24-9,조촌동
1225,카페카라반,전북 군산시 해망로 206,월명동
1226,고봉민김밥인,전북 군산시 궁포1로 24-5,조촌동
1227,카페아르디,전북 군산시 구영신창길 26,월명동
1228,59족황토포크,전북 군산시 상지곡안4길 7-2,수송동
1229,지호식당,전북 군산시 백릉로 89,조촌동
1230,BHC치킨,전북 군산시 가도로 194,소룡동
1231,유쾌한돈,전북 군산시 상지곡안2길 4-3,수송동
1232,마실,전북 군산시 수송안11길 25-1,수송동
1233,이슬처럼,전북 군산시 동령길 9,월명동
1234,마태,전북 군산시 축동로 29,수송동
1235,크라운호프,전북 군산시 동수송6길 9,수송동
1236,커피상회,전북 군산시 신평길 33-3,수송동
1237,먹자청둥오리,전북 군산시 신설로 9,나운1동
1238,첼로네시아,전북 군산시 구영신창길 88,해신동
1239,하버브릿지,전북 군산시 미제2길 8-1,나운3동
1240,한소끔,전북 군산시 백토로 284-8,나운3동
1241,배스킨라빈스31,전북 군산시 미장안길 3,수송동
1242,공차,전북 군산시 월명로 254,수송동
1243,치킨플러스,전북 군산시 나운로 58,나운1동
1244,승현이네,전북 군산시 옥도면 선유도3길 53,옥도면
1245,그아침에,전북 군산시 개정면 번영로 747,개정면
1246,맛있는회식당,전북 군산시 옥도면 무녀도2길 56,옥도면
1247,순곱이네,전북 군산시 설림3길 23,소룡동
1248,왕뚜껑생삼겹살,전북 군산시 요죽길 36,소룡동
1249,카페이든플레이스,전북 군산시 신풍길 35,신풍동
1250,두식이,전북 군산시 소룡안1길 34,미성동
1251,해동장,전북 군산시 나운로 1,나운2동
1252,7번가피자,전북 군산시 수송로 211,수송동
1253,오맛있는집,전북 군산시 칠성안1길 25,미성동
1254,시골쌈밥,전북 군산시 대야면 대야관통로 30,대야면
1255,베네테크,전북 군산시 옥구읍 광월길 44-18,옥구읍
1256,환영양념갈비,전북 군산시 경암3길 16,경암동
1257,장터곱창,전북 군산시 칠성7길 96,미성동
1258,황가네명품키조개,전북 군산시 해망로 451,소룡동
1259,착한천사김밥,전북 군산시 동수송안길 39,수송동
1260,월미당,전북 군산시 구영3길 30,월명동
1261,인디무드,전북 군산시 중정길 14,월명동
1262,계이득머무를정,전북 군산시 수송7길 29,수송동
1263,동백집,전북 군산시 수송로 24,나운1동
1264,청춘미가,전북 군산시 구영6길 76,월명동
1265,엄마부엌,전북 군산시 회현면 회현로 189,회현면
1266,본죽,전북 군산시 하나운로 76,나운2동
1267,대중양품,전북 군산시 경포천동길 86,경암동
1268,신짱,전북 군산시 나운로 73,나운2동
1269,선이네다방,전북 군산시 풍문안2길 8,흥남동
1270,나름,전북 군산시 회현면 회현로 178,회현면
1271,셀디스터디카페,전북 군산시 미장14길 35,수송동
1272,던킨도너츠,전북 군산시 궁포1로 24-9,조촌동
1273,깻잎치킨,전북 군산시 조촌안1길 30,조촌동
1274,로얄자카르타,전북 군산시 궁포3로 7,조촌동
1275,비빔밥,전북 군산시 황룡로 9,나운3동
1276,궁전꽃게장,전북 군산시 궁포1로 24-5,조촌동
1277,객잔리밍,전북 군산시 동수송5길 14,수송동
1278,군산불냉면&연탄고기,전북 군산시 축동안2길 43,수송동
1279,손수당,전북 군산시 삼학안1길 17,삼학동
1280,정담순대,전북 군산시 해망로 17-7,흥남동
1281,돼랑이곱창삼겹살,전북 군산시 오룡로 4,삼학동
1282,뮤즈,전북 군산시 월명로 265,수송동
1283,한뚝수육국밥,전북 군산시 대학로 535,나운3동
1284,골든글로리,전북 군산시 토성길 16-7,개정동
1285,군산박대수산,전북 군산시 내항1길 10-18,중앙동
1286,공룡슈퍼,전북 군산시 미제길 13,나운3동
1287,달봉이네,전북 군산시 칠성4길 193,소룡동
1288,엔제이푸드,전북 군산시 신설3길 6,나운1동
1289,한성옥,전북 군산시 조촌4길 31,조촌동
1290,79대포,전북 군산시 나운안1길 7,나운2동
1291,토스트굽는남자,전북 군산시 임피면 호원대3길 57,임피면
1292,항아웃,전북 군산시 임사길 71,미성동
1293,옥산짬뽕,전북 군산시 옥산면 옥산로 232,옥산면
1294,칼맛,전북 군산시 칠성로 144,미성동
1295,달이토스트생과일,전북 군산시 하나운로 29,나운3동
1296,교동짬뽕,전북 군산시 공단대로 117,수송동
1297,낭만치킨,전북 군산시 축동로 39,수송동
1298,작심스터디카페군산디,전북 군산시 궁포3로 5,조촌동
1299,서주제과,전북 군산시 서수면 상장곤윗길 55,서수면
1300,정금자할매사골곰탕,전북 군산시 진포로 128,조촌동
1301,다사랑,전북 군산시 백릉로 124-7,조촌동
1302,락푸드,전북 군산시 칠성1길 31,미성동
1303,군산수타원,전북 군산시 나운로 73,나운2동
1304,닭볶음탕집,전북 군산시 신설로 9,나운1동
1305,정통의정부부대찌개,전북 군산시 궁포2로 4,조촌동
1306,"궁중바지락칼국수족발,수육",전북 군산시 칠성3길 13,FALSE
1307,더본감자탕,전북 군산시 번영로 151,조촌동
1308,가로수하누,전북 군산시 양안로 19,조촌동
1309,퐁당퐁당,전북 군산시 구암3.1로 70,경암동
1310,야미마라탕,전북 군산시 미제1길 11,나운3동
1311,다온sBistro,전북 군산시 궁포3로 7,조촌동
1312,국수나무,전북 군산시 궁포3로 13,조촌동
1313,쉼표맥주,전북 군산시 궁포3로 13,조촌동
1314,BHC치킨,전북 군산시 궁포3로 7,조촌동
1315,군산에;인,전북 군산시 상신2길 26-12,나운1동
1316,명륜진사갈비,전북 군산시 공단대로 443,나운3동
1317,바다세계,전북 군산시 비응4길 19,소룡동
1318,명륜진사갈비,전북 군산시 공항로 90,소룡동
1319,밥집,전북 군산시 조촌2길 20,조촌동
1320,좋아한다면,전북 군산시 미제2길 8-1,나운3동
1321,군산펄,전북 군산시 임해로 378-8,소룡동
1322,연지식당,전북 군산시 조촌4길 33-4,조촌동
1323,홍매전,전북 군산시 하신2길 15,나운1동
1324,투탑,전북 군산시 부골2길 47-6,조촌동
1325,본향김밥,전북 군산시 칠성5길 25,나운3동
1326,뚱보집,전북 군산시 미제2길 34,나운3동
1327,"늘솜해물탕,찜",전북 군산시 칠성4길 132,FALSE
1328,객주포차,전북 군산시 부곡로 126,나운3동
1329,분식당,전북 군산시 현충로 33,나운3동
1330,이가매생이수제비칼국수,전북 군산시 조촌안3길 19,조촌동
1331,외갓집족발,전북 군산시 조촌안3길 19,조촌동
1332,오감,전북 군산시 미제길 29,나운3동
1333,사거리정육식당,전북 군산시 조촌4길 25,조촌동
1334,착한고깃간,전북 군산시 설림길 81,소룡동
1335,이화네갈비찜,전북 군산시 칠성안1길 25,미성동
1336,엠투음악홀,전북 군산시 부곡3길 19-5,나운3동
1337,종로맥가,전북 군산시 황룡로 63,나운3동
1338,밀겨울,전북 군산시 미장10길 2,수송동
1339,군산베이징,전북 군산시 가도로 182,소룡동
1340,군산의밥상,전북 군산시 소룡2길 52-1,소룡동
1341,우리집곰탕,전북 군산시 분멀안길 33,소룡동
1342,해성,전북 군산시 검다메2길 10-7,조촌동
1343,달달쭈봉,전북 군산시 동국사길 4,월명동
1344,쫑구항아리짬뽕,전북 군산시 공단대로 704,소룡동
1345,유원거리,전북 군산시 부원로 19,나운3동
1346,홍막창,전북 군산시 동수송7길 6,수송동
1347,해바라기한식뷔페,전북 군산시 비응남로 3,소룡동
1348,경춘면옥,전북 군산시 한밭로 76-9,나운3동
1349,명륜진사갈비,전북 군산시 진포로 211,경암동
1350,은아수,전북 군산시 구영신창길 31,월명동
1351,청도관,전북 군산시 수송안9길 22,수송동
1352,홍가땡초불닭,전북 군산시 하신1길 20,나운1동
1353,시골토종순대,전북 군산시 축동로 128,흥남동
1354,바다향기,전북 군산시 오룡안2길 6,신풍동
1355,920,전북 군산시 하나운3길 14,나운1동
1356,투썸플레이스,전북 군산시 조촌4길 3,조촌동
1357,열선수애호박돼지국밥,전북 군산시 칠성로 175,소룡동
1358,달빛창가에서,전북 군산시 하나운안2길 6-1,나운1동
1359,소풍김밥,전북 군산시 대학로 322,나운1동
1360,영산포,전북 군산시 서수송1길 24,나운2동
1361,삼순이네,전북 군산시 옥산면 옥산로 167,옥산면
1362,요거프레소,전북 군산시 요죽3길 13,소룡동
1363,불칸,전북 군산시 미제길 8,나운3동
1364,풀하우스식당,전북 군산시 옥도면 선유북길 97,옥도면
1365,산쪼메,전북 군산시 미제2길 16,나운3동
1366,똑순이,전북 군산시 미원1길 10,흥남동
1367,호텔엘타워식당,전북 군산시 부곡1길 52,나운3동
1368,걸작떡볶이치킨,전북 군산시 수송북로 22,수송동
1369,커피다,전북 군산시 가도로 11,소룡동
1370,두쪽,전북 군산시 하나운안1길 12,나운1동
1371,에그드랍,전북 군산시 수송로 200,수송동
1372,드르쿰다제주,전북 군산시 부곡1길 45,나운3동
1373,해팔이네,전북 군산시 옥도면 야미도4길 42-1,옥도면
1374,영태네집,전북 군산시 서수송안1길 17,나운2동
1375,또봉이통닭,전북 군산시 서수송안1길 17,나운2동
1376,브렌드샵,전북 군산시 수송동로 37,수송동
1377,비빔밥,전북 군산시 월명로 245,수송동
1378,만원족발,전북 군산시 하나운안1길 49,나운1동
1379,이지커피마켓,전북 군산시 임피면 동군산로 706,임피면
1380,빠끄커피,전북 군산시 수송안1길 20,수송동
1381,뉴함지박식당,전북 군산시 상지곡1길 49,수송동
1382,제이피케이푸드,전북 군산시 조촌4길 34,조촌동
1383,군산통닭,전북 군산시 칠성5길 32,나운3동
1384,무쏘무한리필,전북 군산시 궁포3로 7,조촌동
1385,나들목,전북 군산시 하나운안2길 17,나운1동
1386,영희네팥칼국수,전북 군산시 수송안7길 37,수송동
1387,미미,전북 군산시 구영2길 43-6,월명동
1388,현대카페,전북 군산시 옥도면 선유남길 37-3,옥도면
1389,교동면옥,전북 군산시 번영로 57,조촌동
1390,푸라닭,전북 군산시 궁포1로 24-3,조촌동
1391,오늘은장어,전북 군산시 월명로 426,월명동
1392,달빛시장,전북 군산시 신지길 69,수송동
1393,메주네코다리,전북 군산시 나운3길 2,나운2동
1394,오말,전북 군산시 수송로 92,나운2동
1395,정가든,전북 군산시 서수면 용천로 5,서수면
1396,태산실내마차,전북 군산시 나운안3길 6,나운2동
1397,자담치킨,전북 군산시 비응안4길 19,소룡동
1398,순곱이네,전북 군산시 구영6길 111-7,월명동
1399,우돈한마리정육식당,전북 군산시 문화로 51,수송동
1400,서래愛물총칼국수,전북 군산시 구암3.1로 71-9,중앙동
1401,복있는집,전북 군산시 수송안1길 12,수송동
1402,가마꿉,전북 군산시 하나운로 73,나운2동
1403,양푸니,전북 군산시 구영2길 6,월명동
1404,세븐,전북 군산시 비응남1길 6,소룡동
1405,행복하소숙성한우,전북 군산시 동수송9길 11,수송동
1406,커피사랑,전북 군산시 신설로 27,나운1동
1407,순이네생삼겹살,전북 군산시 축동로 128,흥남동
1408,백두게,전북 군산시 의료원로 107,수송동
1409,한밤,전북 군산시 임피면 호원대3길 53,임피면
1410,와따치킨&피자,전북 군산시 부곡로 129,나운3동
1411,라운드피자엔부리또,전북 군산시 임피면 호원대3길 53,임피면
1412,고래섬식당,전북 군산시 옥도면 선유도3길 50,옥도면
1413,김가네,전북 군산시 남수송4길 2-4,수송동
1414,거시기포차,전북 군산시 칠성로 187,소룡동
1415,아지트,전북 군산시 신설로 3,나운1동
1416,신선민박식당,전북 군산시 옥도면 선유북길 105,옥도면
1417,포엠커피,전북 군산시 조촌안2길 18,조촌동
1418,해바라기,전북 군산시 하신1길 8,나운1동
1419,육사심,전북 군산시 진포2길 39,수송동
1420,금복주횟집,전북 군산시 소룡안1길 34,미성동
1421,쉼표맥주,전북 군산시 미제2길 34,나운3동
1422,슈퍼떡볶킹,전북 군산시 동수송8길 9,수송동
1423,우체통음식공방,전북 군산시 우체통거리1길 19,월명동
1424,문서방닭한마리감자탕,전북 군산시 새만금북로 297,소룡동
1425,생고기육회,전북 군산시 하나운안2길 6-1,나운1동
1426,황가네,전북 군산시 동신영길 15,중앙동
1427,웅이네오돌뼈,전북 군산시 동수송8길 9,수송동
1428,스테이블,전북 군산시 명산길 12,월명동
1429,한앤둘치킨,전북 군산시 미장10길 12,수송동
1430,조선게장집,전북 군산시 공단대로 131,수송동
1431,현아네등갈비찜,전북 군산시 수송안7길 33-1,수송동
1432,사보리체험센터,전북 군산시 옥산면 염의서원길 44-3,옥산면
1433,빈타이,전북 군산시 한밭로 76-10,나운3동
1434,마약공작소,전북 군산시 칠성7길 56,미성동
1435,가람갈비,전북 군산시 양안로 81,조촌동
1436,식구,전북 군산시 서수송1길 8-2,나운2동
1437,펍메이드999,전북 군산시 중정길 10,월명동
1438,싸다구포차,전북 군산시 미제길 21,나운3동
1439,고피자,전북 군산시 수송로 289,수송동
1440,기분좋은날,전북 군산시 미원로 126-6,흥남동
1441,맛있는한끼,전북 군산시 백릉로 27,경암동
1442,옛마을,전북 군산시 요죽안2길 7,소룡동
1443,불스떡볶이,전북 군산시 월명로 252,수송동
1444,제이,전북 군산시 미제2길 8-7,나운3동
1445,동네술집,전북 군산시 번영로 86,조촌동
1446,대로식당,전북 군산시 백릉로 118,조촌동
1447,군산칼국수냉면,전북 군산시 대학로 307,나운1동
1448,미스트롯,전북 군산시 부곡1길 75,나운3동
1449,메모러블,전북 군산시 수송남로 8,수송동
1450,좋은만남,전북 군산시 경촌1길 56,경암동
1451,거목단란주점,전북 군산시 조촌2길 45,조촌동
1452,그릴앤썸,전북 군산시 옥서면 산동길 22-6,옥서면
1453,분식백화점,전북 군산시 신지길 23,수송동
1454,영화짜장면집,전북 군산시 구영6길 124,월명동
1455,새참마을,전북 군산시 풍전6길 17,소룡동
1456,오니라,전북 군산시 진포3길 17,흥남동
1457,모던청와,전북 군산시 구영1길 24-3,월명동
1458,해바라기,전북 군산시 양안로 107,조촌동
1459,맛나다한끼,전북 군산시 싸전길 4,중앙동
1460,동네식당,전북 군산시 소룡길 72,소룡동
1461,다온순대국,전북 군산시 임피면 호원대3길 50-1,임피면
1462,친구,전북 군산시 수송로 21-1,나운1동
1463,부길국밥,전북 군산시 서수면 용천로 317,서수면
1464,우리식당,전북 군산시 양촌1길 46-1,구암동
1465,코리엔탈깻잎칩킨,전북 군산시 조촌안1길 30,조촌동
1466,명인만두,전북 군산시 대학로 384,나운3동
1467,낭만포차,전북 군산시 칠성로 139,미성동
1468,어곱창이네,전북 군산시 동팔마길 47,흥남동
1469,윤서네,전북 군산시 하나운안2길 6-6,나운1동
1470,맛있는우리지빱,전북 군산시 구영6길 126,월명동
1471,진희네동태찌개고갈비,전북 군산시 하나운안2길 17,나운1동
1472,추억의동창생들,전북 군산시 수송안10길 39,수송동
1473,섬집이모네,전북 군산시 칠성6길 150,미성동
1474,이른아침커피공장,전북 군산시 산단동서로 276,소룡동
1475,중화요리찬찬,전북 군산시 경암1길 8,조촌동
1476,미룡가마솥설렁탕,전북 군산시 할미로 82-41,나운3동
1477,쿠모,전북 군산시 상지곡안2길 19,수송동
1478,해바라기분식&식당,전북 군산시 회현면 회현로 175,회현면
1479,장미맨숀,전북 군산시 동수송2길 30,수송동
1480,산들양푼갈비,전북 군산시 황룡로 88,나운3동
1481,제일수산,전북 군산시 비응남로 13,소룡동
1482,부라보맥주,전북 군산시 궁포3로 7,조촌동
1483,모여라,전북 군산시 소룡안3길 30,소룡동
1484,오늘또가보자,전북 군산시 칠성로 157,미성동
1485,치킨의민족,전북 군산시 수송안9길 5,수송동
1486,일억조횟집,전북 군산시 비응남로 21,소룡동
1487,해물왕짬뽕,전북 군산시 번영로 237,개정동
1488,자이언트컵커피,전북 군산시 동아로 160,소룡동
1489,송가짬뽕,전북 군산시 동수송안길 55,수송동
1490,옥산갈비탕,전북 군산시 옥산면 옥산로 232,옥산면
1491,광달이회포차,전북 군산시 수송7길 27,수송동
1492,봉구스밥버거,전북 군산시 동수송3길 22,수송동
1493,리투스카페,전북 군산시 해망로 118,중앙동
1494,불닭발동대문엽기떡볶이,전북 군산시 황룡안길 50,나운3동
1495,팔마재,전북 군산시 번영로 2,흥남동
1496,김밥잔치,전북 군산시 신지길 11,수송동
1497,군산산꼼장어아나고,전북 군산시 동메1길 9-4,수송동
1498,고소미,전북 군산시 수송안7길 40,수송동
1499,주밥야곱,전북 군산시 구영6길 98,월명동
1500,굳돈,전북 군산시 동수송8길 19,수송동
1501,지곡동옛날돈까스,전북 군산시 양안로 5,조촌동
1502,리리프,전북 군산시 미장안5길 11,수송동
1503,동백,전북 군산시 동수송7길 19,수송동
1504,드르쿰다프롬제주,전북 군산시 부곡1길 45,나운3동
1505,간식다방,전북 군산시 백릉4길 8,조촌동
1506,평양면옥,전북 군산시 수송안2길 5,수송동
1507,단초밥,전북 군산시 상지곡안1길 24,수송동
1508,경양카츠,전북 군산시 동수송8길 1,수송동
1509,무지개파크,전북 군산시 옥산면 신기길 28,옥산면
1510,계림원,전북 군산시 수송로 324,수송동
1511,멘토즈스터디카페,전북 군산시 미장남로 111-5,수송동
1512,비허밍스터디카페,전북 군산시 하나운로 70,나운2동
1513,신가네정읍국밥,전북 군산시 동팔마길 35,흥남동
1514,본죽&비빔밥CAFE,전북 군산시 궁포3로 7,조촌동
1515,브로가맥,전북 군산시 경암로 61,경암동
1516,할리스커피,전북 군산시 새만금북로 424,소룡동
1517,짱뽕킹,전북 군산시 옥서면 신장원길 22,옥서면
1518,소담촌,전북 군산시 조촌4길 3,조촌동
1519,크앙분식,전북 군산시 동수송2길 11,수송동
1520,로얄자카르타,전북 군산시 수송7길 28,수송동
1521,빈타이,전북 군산시 조촌로 130,조촌동
1522,멘토즈스터디카페,전북 군산시 대학로 274,나운1동
1523,이디야커피,전북 군산시 경촌2길 36-2,조촌동
1524,오가다,전북 군산시 조촌로 130,조촌동
1525,구찌돈,전북 군산시 수송안7길 31,수송동
1526,소곰집,전북 군산시 미장12길 27,수송동
1527,메쿰,전북 군산시 구영6길 65,월명동
1528,나,전북 군산시 구영6길 113-1,월명동
1529,솔비,전북 군산시 부곡3길 18,나운3동
1530,엔티엘,전북 군산시 미룡로 9,나운3동
1531,라이크푸드,전북 군산시 축동안길 37,수송동
1532,개코막걸리,전북 군산시 부곡로 124,나운3동
1533,쉐르,전북 군산시 대학로 400,나운3동
1534,주영수산,전북 군산시 비응로 36,소룡동
1535,치뽁,전북 군산시 하신3길 7,나운1동
1536,감성스토리카페(GAMSEONGSTORYCAFE),전북 군산시 삼화길 42,신풍동
1537,우승이붕장어연탄구이,전북 군산시 축동안길 26,수송동
1538,G-BAKERY,전북 군산시 문화로 48,수송동
1539,미라식당,전북 군산시 비응안4길 7,소룡동
1540,민들레한식뷔페,전북 군산시 외항로 221,미성동
1541,르빠니에,전북 군산시 백토로 239,수송동
1542,나비드,전북 군산시 의료원로 27,수송동
1543,아메리칸트레일러롯데아울렛,전북 군산시 조촌로 130,조촌동
1544,커피니,전북 군산시 원당길 73-5,나운3동
1545,카페미르,전북 군산시 대학로 558,나운3동
1546,백미당롯데몰,전북 군산시 조촌로 130,조촌동
1547,누구나맥주,전북 군산시 수송로 33-1,나운1동
1548,라떼떼,전북 군산시 지곡동신길 6,수송동
1549,화센,전북 군산시 요죽길 30-8,소룡동
1550,장어만,전북 군산시 축동안길 67,수송동
1551,구운통닭,전북 군산시 미장1길 38,수송동
1552,명동면옥,전북 군산시 궁포1로 24-3,조촌동
1553,현카페,전북 군산시 설림안3길 32,소룡동
1554,구구족발,전북 군산시 문화로 52,수송동
1555,팔도실비집,전북 군산시 동수송4길 4,수송동
1556,착한톱밥,전북 군산시 서수송2길 23,나운2동
1557,피쉬수산,전북 군산시 공항로 62,소룡동
1558,더갈비,전북 군산시 백릉로 269,구암동
1559,밀카페,전북 군산시 나운안1길 35,나운2동
1560,봄봄테이크아웃,전북 군산시 동팔마길 35,흥남동
1561,장인족발,전북 군산시 백릉로 162,조촌동
1562,카페온,전북 군산시 대학로 368,나운3동
1563,하는일이슬슬풀리는수산,전북 군산시 옥도면 무녀도동길 13-1,옥도면
1564,밥한술,전북 군산시 수송안8길 19,수송동
1565,취향분식,전북 군산시 비응남로 97,소룡동
1566,구운통닭,전북 군산시 칠성안1길 38,미성동
1567,족발야시장수송,전북 군산시 수송북로 3,수송동
1568,장수통닭,전북 군산시 공단대로 77,수송동
1569,엄마손김밥,전북 군산시 대학로 284,나운1동
1570,무지개맥주,전북 군산시 동수송7길 7,수송동
1571,일일치킨&커피빅,전북 군산시 가도로 11,소룡동
1572,09옛치킨,전북 군산시 신설로 3,나운1동
1573,카페고운,전북 군산시 월명로 477-1,월명동
1574,맥치킨,전북 군산시 풍전6길 17,소룡동
1575,고혈압쭈꾸미,전북 군산시 문화로 194,수송동
1576,지니아이스크림,전북 군산시 수송동로 73,수송동
1577,부광족발,전북 군산시 구영7길 32-1,월명동
1578,오늘도소곱창,전북 군산시 소룡길 36,소룡동
1579,성어회수산,전북 군산시 비응동로 40,소룡동
1580,피자탑,전북 군산시 동수송8길 7,수송동
1581,꺼구리시장통닭,전북 군산시 축동안3길 3,수송동
1582,평순네삼겹살,전북 군산시 진포로 169,조촌동
1583,우체통찰보리칼국수,전북 군산시 우체통거리1길 6,월명동
1584,초심스터디카페,전북 군산시 수송로 42,나운2동
1585,피자플래넷,전북 군산시 서수송2길 40,나운2동
1586,카페,전북 군산시 동지곡길 171,수송동
1587,베트남쌀국수,전북 군산시 분멀3길 14,소룡동
1588,긱스피자,전북 군산시 동수송4길 16,수송동
1589,응응스크르군산,전북 군산시 하나운로 73,나운2동
1590,서해칼국수,전북 군산시 진포로 155,조촌동
1591,어라운드스터디카페,전북 군산시 계산로 91,수송동
1592,탱크조개&짬뽕,전북 군산시 군산창길 35,해신동
1593,신통치킨,전북 군산시 미룡로 42,나운3동
1594,참꼬마김밥&분식,전북 군산시 진포1길 10,수송동
1595,킹스타피자,전북 군산시 수송로 71,나운2동
1596,카페로더,전북 군산시 문화로 87,수송동
1597,읍내생맥주,전북 군산시 신지길 74,수송동
1598,군산통닭,전북 군산시 월명로 465,월명동
1599,오복통닭,전북 군산시 소룡안3길 29,소룡동
1600,일미리금계찜닭,전북 군산시 동수송7길 5-1,수송동
1601,1도씨맥주산북숙성고,전북 군산시 칠성로 148,미성동
1602,엄마밥상,전북 군산시 구영7길 16,월명동
1603,앵두나무,전북 군산시 절골1길 4,해신동
1604,신선수산직매식당,전북 군산시 미원로 72,삼학동
1605,예쁘오/F5,전북 군산시 풍문3길 39,흥남동
1606,디저트풍경,전북 군산시 상신안길 43,나운1동
1607,새우랑소바랑,전북 군산시 백릉로 102,조촌동
1608,명랑부대찌개,전북 군산시 미룡로 45,나운3동
1609,과일아쥬스해,전북 군산시 구영5길 65-12,월명동
1610,룸넘버90,전북 군산시 구영3길 41,월명동
1611,정성김밥,전북 군산시 대학로 290,나운1동
1612,호박커피컴패니,전북 군산시 문화안길 52,신풍동
1613,친구감자탕,전북 군산시 경암2길 19,경암동
