id,legalName,RoadNameAddress,AdministrativeNeighborhood
112,해금강다방,전북 군산시 부원로 17,나운3동
113,땡초먹고맴맴,전북 군산시 백토로 92,신풍동
114,동백이머무는곳,전북 군산시 하포로 29,수송동
115,장인족발,전북 군산시 하나운로 37,나운2동
116,장군회집,전북 군산시 내항2길 216,해신동
117,봉채국수수송점,전북 군산시 축동로 37,수송동
118,이레수산,전북 군산시 내항2길 216,해신동
119,고향집,전북 군산시 옥구읍 옥구로 250,옥구읍
120,커피콩콩,전북 군산시 영동로 13,중앙동
121,고군산집,전북 군산시 하나운안1길 16,나운1동
122,군산회직매장,전북 군산시 신설로 13,나운1동
123,파스토,전북 군산시 황룡안길 50,나운3동
124,만남호프,전북 군산시 가도로 192,소룡동
125,실내마차,전북 군산시 서래로 59,경암동
126,집시,전북 군산시 하신2길 14,나운1동
127,그때그시절,전북 군산시 하나운안1길 16,나운1동
128,청평가든,전북 군산시 하나운안1길 16,나운1동
129,산수촌,전북 군산시 옥서면 옥구저수지로 156,옥서면
130,가빈이네,전북 군산시 옥도면 선유북길 117,옥도면
131,쌍용집,전북 군산시 대학로 7-4,월명동
132,모두의야식,전북 군산시 상신안길 34,나운1동
133,투다리수송제일점,전북 군산시 축동안길 41,수송동
134,필,전북 군산시 대학로 406,나운3동
135,우끼는포장마차,전북 군산시 부곡로 124,나운3동
136,한마음,전북 군산시 하나운3길 26,나운1동
137,생뚝,전북 군산시 구영7길 115,월명동
138,소문난잔치국수,전북 군산시 백토로 12,신풍동
139,일우,전북 군산시 분멀안길 9,소룡동
140,용봉루,전북 군산시 오룡로 17,삼학동
141,신우식당,전북 군산시 하신2길 12-3,나운1동
142,만나식당,전북 군산시 한밭3길 5,나운3동
143,크로바,전북 군산시 하신2길 16-4,나운1동
144,현주식당,전북 군산시 칠성안1길 18,미성동
145,상고앞분식,전북 군산시 팔마로 10,신풍동
146,싸목싸목꺼먹돼지,전북 군산시 서수송1길 16,나운2동
147,꺼먹돼지,전북 군산시 하신1길 22,나운1동
148,나주수산,전북 군산시 내항2길 289,해신동
149,정문,전북 군산시 옥서면 신장원길 25,옥서면
150,월명가든,전북 군산시 월명2길 10,월명동
151,분식의달인,전북 군산시 동아로 145,미성동
152,하모니베이커리,전북 군산시 진포로 240,경암동
153,카카오츄로,전북 군산시 미룡로 73,나운3동
154,송반장,전북 군산시 칠성로 149,미성동
155,와이드윙,전북 군산시 옥서면 신장원길 9,옥서면
156,풍년통닭앤튀김,전북 군산시 동아로 146,미성동
157,99씨엘,전북 군산시 서수면 임피중길 8,서수면
158,메가커피,전북 군산시 월명로 460-1,월명동
159,총각네수산,전북 군산시 칠성로 177,소룡동
